2018-02-25 17:52:31.568800: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.748762: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:03:00.0
totalMemory: 10.91GiB freeMemory: 10.19GiB
2018-02-25 17:52:31.929018: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 1 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.06GiB
2018-02-25 17:52:31.929188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1045] Device peer to peer matrix
2018-02-25 17:52:31.929228: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1051] DMA: 0 1 
2018-02-25 17:52:31.929243: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 0:   Y Y 
2018-02-25 17:52:31.929251: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1061] 1:   Y Y 
2018-02-25 17:52:31.929264: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:03:00.0, compute capability: 6.1)
2018-02-25 17:52:31.929274: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 59000	logppl: 7.640	valid ppl: 1058.111	test ppl: 1020.709
iter: 60000	logppl: 6.692	valid ppl: 1041.770	test ppl: 1009.888
iter: 61000	logppl: 6.688	valid ppl: 1034.162	test ppl: 1007.481
iter: 62000	logppl: 6.708	valid ppl: 1044.397	test ppl: 1017.142
iter: 63000	logppl: 7.091	valid ppl: 1026.668	test ppl: 999.701
iter: 64000	logppl: 6.920	valid ppl: 1057.969	test ppl: 1023.943
iter: 65000	logppl: 6.498	valid ppl: 1031.971	test ppl: 1009.565
iter: 66000	logppl: 7.328	valid ppl: 1061.980	test ppl: 1032.255
iter: 67000	logppl: 7.202	valid ppl: 1071.785	test ppl: 1046.908
iter: 68000	logppl: 6.490	valid ppl: 1068.133	test ppl: 1035.543
iter: 69000	logppl: 6.935	valid ppl: 1046.409	test ppl: 1009.904
iter: 70000	logppl: 6.823	valid ppl: 1034.330	test ppl: 1002.924
iter: 71000	logppl: 6.888	valid ppl: 1030.785	test ppl: 1000.511
iter: 72000	logppl: 6.415	valid ppl: 1027.581	test ppl: 992.882
iter: 73000	logppl: 6.879	valid ppl: 1031.984	test ppl: 995.890
iter: 74000	logppl: 6.960	valid ppl: 1030.923	test ppl: 999.264
iter: 75000	logppl: 6.957	valid ppl: 1037.138	test ppl: 1006.711
iter: 76000	logppl: 6.753	valid ppl: 1062.888	test ppl: 1031.855
iter: 77000	logppl: 6.917	valid ppl: 1037.832	test ppl: 1005.842
iter: 78000	logppl: 7.758	valid ppl: 1049.013	test ppl: 1014.501
iter: 79000	logppl: 6.187	valid ppl: 1034.379	test ppl: 1000.009
iter: 80000	logppl: 6.744	valid ppl: 1043.450	test ppl: 1011.643
iter: 81000	logppl: 6.737	valid ppl: 1051.867	test ppl: 1019.626
iter: 82000	logppl: 6.533	valid ppl: 1028.241	test ppl: 1000.340
iter: 83000	logppl: 6.610	valid ppl: 1044.877	test ppl: 1014.005
iter: 84000	logppl: 6.796	valid ppl: 1029.399	test ppl: 1000.053
iter: 85000	logppl: 6.475	valid ppl: 1063.656	test ppl: 1032.233
iter: 86000	logppl: 6.892	valid ppl: 1050.855	test ppl: 1024.400
iter: 87000	logppl: 6.817	valid ppl: 1055.092	test ppl: 1022.922
iter: 88000	logppl: 6.781	valid ppl: 1051.064	test ppl: 1013.049
iter: 89000	logppl: 6.829	valid ppl: 1035.965	test ppl: 1006.221
iter: 90000	logppl: 6.840	valid ppl: 1046.710	test ppl: 1012.874
iter: 91000	logppl: 6.561	valid ppl: 1035.609	test ppl: 1003.248
iter: 92000	logppl: 7.532	valid ppl: 1044.199	test ppl: 1012.083
iter: 93000	logppl: 6.859	valid ppl: 1056.539	test ppl: 1027.445
iter: 94000	logppl: 7.549	valid ppl: 1047.946	test ppl: 1019.098
iter: 95000	logppl: 6.491	valid ppl: 1066.748	test ppl: 1045.121
iter: 96000	logppl: 6.982	valid ppl: 1049.606	test ppl: 1018.422
iter: 97000	logppl: 6.817	valid ppl: 1053.626	test ppl: 1020.590
iter: 98000	logppl: 6.124	valid ppl: 1054.623	test ppl: 1018.875
iter: 99000	logppl: 6.811	valid ppl: 1044.572	test ppl: 1011.101
iter: 100000	logppl: 7.037	valid ppl: 1057.389	test ppl: 1023.615
iter: 101000	logppl: 6.931	valid ppl: 1048.768	test ppl: 1018.815
iter: 102000	logppl: 7.120	valid ppl: 1050.583	test ppl: 1013.791
iter: 103000	logppl: 6.803	valid ppl: 1044.816	test ppl: 1016.259
iter: 104000	logppl: 7.572	valid ppl: 1081.793	test ppl: 1044.865
iter: 105000	logppl: 7.210	valid ppl: 1050.973	test ppl: 1022.803
iter: 106000	logppl: 7.186	valid ppl: 1068.397	test ppl: 1033.489
iter: 107000	logppl: 6.757	valid ppl: 1054.884	test ppl: 1016.031
iter: 108000	logppl: 6.469	valid ppl: 1057.077	test ppl: 1024.730
iter: 109000	logppl: 6.580	valid ppl: 1060.158	test ppl: 1022.624
iter: 110000	logppl: 6.200	valid ppl: 1050.402	test ppl: 1020.037
