2018-02-25 17:52:30.983542: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-25 17:52:31.165897: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: GeForce GTX 1080 Ti major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:04:00.0
totalMemory: 10.91GiB freeMemory: 9.40GiB
2018-02-25 17:52:31.165939: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: GeForce GTX 1080 Ti, pci bus id: 0000:04:00.0, compute capability: 6.1)
All vocabulary size:  36388
Epoch size:  20
Iterations:  187728
iter: 73000	loss: 5.654	valid ppl: 1378.533	test ppl: 1330.568
iter: 74000	loss: 7.927	valid ppl: 1331.324	test ppl: 1302.894
iter: 75000	loss: 7.381	valid ppl: 1457.222	test ppl: 1430.403
iter: 76000	loss: 7.157	valid ppl: 1401.886	test ppl: 1382.449
iter: 77000	loss: 7.905	valid ppl: 1386.946	test ppl: 1331.475
iter: 78000	loss: 8.089	valid ppl: 1385.237	test ppl: 1334.744
iter: 79000	loss: 7.546	valid ppl: 1362.308	test ppl: 1316.834
iter: 80000	loss: 8.772	valid ppl: 1405.257	test ppl: 1386.032
iter: 81000	loss: 6.010	valid ppl: 1393.776	test ppl: 1367.483
iter: 82000	loss: 7.190	valid ppl: 1362.295	test ppl: 1299.175
iter: 83000	loss: 5.890	valid ppl: 1384.642	test ppl: 1312.417
iter: 84000	loss: 9.957	valid ppl: 1475.821	test ppl: 1384.936
iter: 85000	loss: 7.093	valid ppl: 1441.191	test ppl: 1352.713
iter: 86000	loss: 6.465	valid ppl: 1392.134	test ppl: 1315.111
iter: 87000	loss: 8.444	valid ppl: 1442.711	test ppl: 1383.604
iter: 88000	loss: 7.872	valid ppl: 1501.587	test ppl: 1399.014
iter: 89000	loss: 7.309	valid ppl: 1416.377	test ppl: 1338.264
iter: 90000	loss: 6.655	valid ppl: 1431.563	test ppl: 1342.299
iter: 91000	loss: 6.366	valid ppl: 1380.912	test ppl: 1287.198
iter: 92000	loss: 6.752	valid ppl: 1391.369	test ppl: 1295.204
iter: 93000	loss: 6.801	valid ppl: 1452.348	test ppl: 1361.782
iter: 94000	loss: 7.858	valid ppl: 1665.017	test ppl: 1559.852
iter: 95000	loss: 7.689	valid ppl: 1436.484	test ppl: 1351.307
iter: 96000	loss: 8.321	valid ppl: 1427.639	test ppl: 1377.912
